season,number_in_season,number_in_series,original_air_date,day_aired,imdb_rating,us_viewers_in_millions,title,is_last_episode
21,14,455,2010-03-14,Sunday,7.1,5.23,Postcards from the Wedge,0
21,16,457,2010-03-28,Sunday,5.7,5.69,The Greatest Story Ever D'ohed,0
21,21,462,2010-05-09,Sunday,6.9,5.66,Moe Letter Blues,0
21,23,464,2010-05-23,Sunday,6.6,5.74,Judge Me Tender,1
22,2,466,2010-10-03,Sunday,6.8,8.59,Loan-a Lisa,0
22,5,469,2010-11-14,Sunday,7.2,8.97,"Lisa Simpson, This Isn't Your Life",0
22,8,472,2010-12-05,Sunday,6.9,9.54,The Fight Before Christmas,0
22,9,473,2010-12-12,Sunday,7.0,7.18,Donnie Fatso,0
22,12,476,2011-01-23,Sunday,7.0,6.5,Homer the Father,0
22,14,478,2011-02-20,Sunday,7.2,6.35,Angry Dad: The Movie,0
22,16,480,2011-03-13,Sunday,6.1,5.44,A Midsummer's Nice Dream,0
22,18,482,2011-04-10,Sunday,7.0,4.99,The Great Simpsina,0
22,21,485,2011-05-15,Sunday,7.3,6.0,500 Keys,0
23,1,487,2011-09-25,Sunday,7.2,8.08,The Falcon and the D'ohman,0
23,3,489,2011-10-30,Sunday,6.6,8.1,Treehouse of Horror XXII,0
23,5,491,2011-11-13,Sunday,7.2,7.5,The Food Wife,0
23,8,494,2011-12-04,Sunday,6.2,9.01,The Ten-Per-Cent Solution,0
23,10,496,2012-01-08,Sunday,6.1,5.07,"Politically Inept, with Homer Simpson",0
23,12,498,2012-01-29,Sunday,5.7,5.12,Moe Goes from Rags to Riches,0
21,6,447,2009-11-22,Sunday,6.7,7.03,Pranks and Greens,0
5,10,91,1993-12-16,Thursday,8.5,17.9,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",0
23,18,504,2012-04-15,Sunday,7.1,4.86,Beware My Cheating Bart,0
23,20,506,2012-05-06,Sunday,6.9,4.84,The Spy Who Learned Me,0
23,22,508,2012-05-20,Sunday,4.5,4.82,Lisa Goes Gaga,1
24,5,513,2012-11-18,Sunday,6.3,5.06,Penny-Wiseguys,0
24,8,516,2012-12-16,Sunday,7.2,3.77,To Cur with Love,0
24,10,518,2013-01-13,Sunday,7.0,5.04,A Test Before Trying,0
24,12,520,2013-02-10,Sunday,6.5,4.19,Love is a Many-Splintered Thing,0
24,14,522,2013-03-03,Sunday,6.2,4.66,Gorgeous Grampa,0
24,17,525,2013-04-14,Sunday,6.5,4.11,What Animated Women Want,0
24,19,527,2013-05-05,Sunday,6.8,4.43,Whiskey Business,0
25,1,531,2013-09-29,Sunday,7.0,6.37,Homerland,0
25,4,534,2013-11-10,Sunday,6.7,4.2,YOLO,0
25,6,536,2013-11-24,Sunday,6.5,6.78,The Kid Is All Right,0
25,8,538,2013-12-15,Sunday,6.5,8.48,White Christmas Blues,0
25,11,541,2014-01-26,Sunday,7.2,3.87,Specs and the City,0
25,13,543,2014-03-09,Sunday,6.7,3.75,The Man Who Grew Too Much,0
25,15,545,2014-03-23,Sunday,7.0,3.98,The War of Art,0
25,17,547,2014-04-06,Sunday,6.5,4.3,Luca$,0
25,20,550,2014-05-04,Sunday,7.7,4.39,Brick Like Me,0
25,22,552,2014-05-18,Sunday,6.7,3.28,The Yellow Badge of Cowardge,1
26,2,554,2014-10-05,Sunday,6.9,4.27,The Wreck of the Relationship,0
26,5,557,2014-11-02,Sunday,6.3,4.22,Opposites A-Frack,0
26,7,559,2014-11-16,Sunday,6.9,6.7,Blazed and Confused,0
26,10,562,2015-01-04,Sunday,6.8,10.62,The Man Who Came to Be Dinner,0
26,12,564,2015-01-25,Sunday,5.8,3.29,The Musk Who Fell to Earth,0
26,18,570,2015-04-19,Sunday,6.7,3.23,Peeping Mom,0
1,9,9,1990-03-18,Sunday,7.5,33.5,Life on the Fast Lane,0
1,11,11,1990-04-15,Sunday,7.8,31.2,The Crepes of Wrath,0
1,13,13,1990-05-13,Sunday,7.9,27.1,Some Enchanted Evening,1
2,2,15,1990-10-18,Thursday,8.3,29.9,Simpson and Delilah,0
2,3,16,1990-10-25,Thursday,8.2,27.4,Treehouse of Horror,0
2,5,18,1990-11-08,Thursday,7.5,26.1,Dancin' Homer,0
2,7,20,1990-11-22,Thursday,7.7,25.9,Bart vs. Thanksgiving,0
2,9,22,1990-12-20,Thursday,8.1,22.2,Itchy & Scratchy & Marge,0
2,12,25,1991-01-31,Thursday,8.2,26.8,The Way We Was,0
2,14,27,1991-02-14,Thursday,7.5,23.9,Principal Charming,0
2,16,29,1991-03-07,Thursday,7.5,23.9,"Bart's Dog Gets an ""F""",0
2,20,33,1991-05-02,Thursday,7.9,19.7,The War of the Simpsons,0
26,21,573,2015-05-10,Sunday,6.8,2.77,Bull-E,0
27,2,576,2015-10-04,Sunday,6.7,6.02,Cue Detective,0
27,6,580,2015-11-08,Sunday,6.8,3.48,Friend with Benefit,0
27,9,583,2015-12-13,Sunday,8.4,5.97,Barthood,0
27,11,585,2016-01-10,Sunday,6.8,8.33,Teenage Mutant Milk-Caused Hurdles,0
27,14,588,2016-02-21,Sunday,6.6,3.1,Gal of Constant Sorrow,0
27,16,590,2016-03-13,Sunday,7.3,3.07,The Marge-ian Chronicles,0
27,19,593,2016-04-24,Sunday,7.1,2.77,Fland Canyon,0
27,21,595,2016-05-15,Sunday,6.4,2.8,Simprovised,0
1,1,1,1989-12-17,Sunday,8.2,26.7,Simpsons Roasting on an Open Fire,0
1,2,2,1990-01-14,Sunday,7.8,24.5,Bart the Genius,0
1,4,4,1990-01-28,Sunday,7.8,20.2,There's No Disgrace Like Home,0
1,6,6,1990-02-11,Sunday,7.6,27.4,Moaning Lisa,0
1,8,8,1990-02-25,Sunday,7.7,28.0,The Telltale Head,0
2,21,34,1991-05-09,Thursday,8.4,21.0,Three Men and a Comic Book,0
3,1,36,1991-09-19,Thursday,8.6,22.9,Stark Raving Dad,0
3,3,38,1991-10-03,Thursday,8.2,22.8,When Flanders Failed,0
3,5,40,1991-10-17,Thursday,8.5,20.6,Homer Defined,0
4,19,78,1993-04-15,Thursday,8.1,20.1,The Front,0
4,14,73,1993-02-04,Thursday,8.1,23.8,Brother from the Same Planet,0
5,5,86,1993-10-28,Thursday,8.7,24.0,Treehouse of Horror IV,0
4,12,71,1993-01-14,Thursday,9.0,23.0,Marge vs. the Monorail,0
4,15,74,1993-02-11,Thursday,8.3,25.2,I Love Lisa,0
5,9,90,1993-12-09,Thursday,8.4,20.6,The Last Temptation of Homer,0
3,19,54,1992-03-12,Thursday,7.7,23.4,Dog of Death,0
3,7,42,1991-10-31,Thursday,8.2,20.0,Treehouse of Horror II,0
3,8,43,1991-11-07,Thursday,7.9,23.0,Lisa's Pony,0
4,7,66,1992-11-05,Thursday,7.8,22.9,Marge Gets a Job,0
3,12,47,1991-12-26,Thursday,8.2,21.9,I Married Marge,0
4,17,76,1993-03-11,Thursday,9.0,22.4,Last Exit to Springfield,0
3,14,49,1992-01-23,Thursday,8.0,23.2,Lisa the Greek,0
3,22,57,1992-04-23,Thursday,7.7,17.5,The Otto Show,0
5,4,85,1993-10-21,Thursday,8.9,19.5,Rosebud,0
3,15,50,1992-02-06,Thursday,8.0,23.7,Homer Alone,0
3,17,52,1992-02-20,Thursday,8.6,24.6,Homer at the Bat,0
4,20,79,1993-04-29,Thursday,8.1,20.0,Whacking Day,0
4,4,63,1992-10-15,Thursday,7.8,19.0,Lisa the Beauty Queen,0
4,22,81,1993-05-13,Thursday,8.2,19.4,Krusty Gets Kancelled,1
3,21,56,1992-04-09,Thursday,8.2,17.3,Black Widower,0
4,2,61,1992-10-01,Thursday,8.1,18.3,A Streetcar Named Marge,0
